Date,Tweet_id,User_name,Screen_name,Location,Tweet
10-08-2010,1.12247e+18,b'Delhi Capitals',b'DelhiCapitals',"b'New Delhi, India'",b'Name: Shreyas Iyer \xe2\x9d\xa4\xef\xb8\x8f\nJob: Leading from the front \xf0\x9f\x91\x8a\n\n#DCvRCB #ThisIsNewDelhi #DelhiCapitals #IPL #IPL2019 https://t.co/iXNRf6bRin'
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 16.4: N Saini to C Ingram, 6 runs, 141/4 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 16.3: N Saini to C Ingram, 4 runs, 135/4 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
27-12-2012,1.12247e+18,b'News Nation',b'NewsNationTV',"b'Noida, India'",b'.@RCBTweets are fighting back in the death overs as Rishabh Pant and Shreyas Iyer fall in quick succession #DCvsRCB\xe2\x80\xa6 https://t.co/t70JpD0nqX'
15-07-2011,1.12247e+18,b'Firstpost Sports',b'FirstpostSports',b'India',b'@SDhawan25 WICKET!\n\nWashington Sundar removes Iyer for 52. #RCB back in the game!\n\n#DC 129/4 (15.4) \n\nFollow Live:\xe2\x80\xa6 https://t.co/UbEzyGDx1V'
13-01-2011,1.12247e+18,b'CricketCountry',b'cricket_country',b'Global',b'#IPL2019 #iPL #DCvRCB #RCBvDC\n\nWICKET! Washington Sundar removes Iyer. RCB are pulling back the things. DC four dow\xe2\x80\xa6 https://t.co/zgjJ0rot1t'
28-11-2008,1.12247e+18,b'DNA',b'dna',b'India',b'#IPL2019 #DCvsRCB Live: @DelhiCapitals lose their fourth wicket\n\nShreyas Iyer also scores his half-century and is s\xe2\x80\xa6 https://t.co/yLQ0YDN7Ta'
01-05-2009,1.12247e+18,b'NDTV',b'ndtv',b'India',"b'RT @CricketNDTV: IPL 2019: WICKET! Like Dhawan, Iyer falls after fifty too. RCB have done well in the last few overs to restrict DC\n\nShreya\xe2\x80\xa6'"
01-04-2010,1.12247e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\nOUT!\n\n@Sundarwashi5 strikes to send Shreyas Iyer back\xe2\x80\xa6 https://t.co/sRP1egl2Cc'
04-09-2009,1.12247e+18,b'CricketNDTV',b'CricketNDTV',b'India',"b'IPL 2019: WICKET! Like Dhawan, Iyer falls after fifty too. RCB have done well in the last few overs to restrict DC\xe2\x80\xa6 https://t.co/budBRFSCcK'"
09-01-2013,1.12247e+18,b'IndiaTodayFLASH',b'IndiaTodayFLASH',b'',b'RT @ITGDsports: #DCvRCB Virat Kohli turned towards the dressing room and put up 9 fingers to suggest the 9 times he has lost the toss in #I\xe2\x80\xa6'
02-02-2009,1.12247e+18,b'India Today',b'IndiaToday',b'India',b'RT @ITGDsports: #DCvRCB Virat Kohli turned towards the dressing room and put up 9 fingers to suggest the 9 times he has lost the toss in #I\xe2\x80\xa6'
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 15.3: WICKET! S Iyer (52) is out, c Virat Kohli b Washington Sundar, 129/4 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
01-10-2008,1.12247e+18,b'CricketNext',b'cricketnext',b'India',b'FIFTY! Iyer brings up his fifty with a six over long on. His 13th in IPL.\n\nPant though departs to Chahal.\n\n#DC 127/\xe2\x80\xa6 https://t.co/wiLmcLpwoU'
27-12-2012,1.12247e+18,b'News Nation',b'NewsNationTV',"b'Noida, India'",b'Shreyas Iyer slams his 13th fifty with two sixes off Yuzvendra Chahal but Rishabh Pant is trapped LBW.\xe2\x80\xa6 https://t.co/9J0HMt0rcH'
15-07-2011,1.12247e+18,b'Firstpost Sports',b'FirstpostSports',b'India',b'@SDhawan25 OUT! LBW!\n\nPant took a review but DRS showed three reds and he has to leave\n\n#DC 127/3 (14.5) \n\nFollow L\xe2\x80\xa6 https://t.co/uYCavToc8p'
01-04-2010,1.12247e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\nOUT!\n\nLoud lbw appeal for @RishabPant777 by\xe2\x80\xa6 https://t.co/guflgvT1bH'
13-08-2013,1.12247e+18,b'Express Sports',b'IExpressSports',b'New Delhi',b'#IPL2019 #DCvRCB\n\nEventful over from Yuzvendra Chahal. Smacked for two sixes by Shreyas Iyer which brings up his fi\xe2\x80\xa6 https://t.co/UDTHdMrIeb'
01-05-2009,1.12247e+18,b'NDTV',b'ndtv',b'India',b'RT @CricketNDTV: IPL 2019: WICKET! Chahal traps Rishabh Pant in front of wickets to claim his second wicket of the match\n\nPant lbw b Chahal\xe2\x80\xa6'
04-09-2009,1.12247e+18,b'CricketNDTV',b'CricketNDTV',b'India',b'IPL 2019: WICKET! Chahal traps Rishabh Pant in front of wickets to claim his second wicket of the match\n\nPant lbw b\xe2\x80\xa6 https://t.co/KLOULmEAy1'
